全球电视,#genre#
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
凤凰香港 HD,https://httop.top/fengshows-fenghk
星卫电影台,https://k0udeyd8ye5y1czw240ex951x2c10x5302xx1cz.djvod.ndcimgs.com/bs3/video-hls/5240782769998279315_5b89d96c2cad3de2_4681_hlsb.m3u8?x-ks-ptid=178957423116&x-kcdn-pid=12021&kwai-not-alloc=self-cdn&kcdntag=p:Guangdong;i:ChinaTelecom;ft:UNKNOWN;h:UNKNOWN;pn:webserverHls&ocid=63&ss=vpm
莲花卫视,http://1033946631.cloudvdn.com/a.m3u8?domain=live-hdl.macaulotustv.com&player=1&streamid=lotustv:lotustv/macaulotustv&v3=1
中国通史,http://newstreamcdnct.inter.ptqy.gitv.tv/tslive/c60_fast_1029_720P_t10/c60_fast_1029_720P_t10.m3u8?d
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,http://www.kaniptv.cn/mk.php?ip=node-111-20-163-124.speedtest.cn:8001&id=live1200

美亚电影台,https://smt.1678520.xyz/smt3.2.1.php?id=meiyamovie_twn
AMC电影-台湾,http://211.23.125.95:50007/4gtv-4gtv017/index.m3u8?proxy=true
Channel [V],http://iot-mqqt.111yao.cn:8080/live/diyp_channelv.m3u8
天映电影,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial
天映经典,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial2
爱地球频道,https://stream1.freetv.fun/9b6ac39cf69d7a8710b6ee03009781695b898afb49cb5f98ecea39697016c2f7.m3u8
中国国际-纪录频道,https://stream1.freetv.fun/cgtnji-lu-2.m3u8
东森新闻,http://211.72.174.95:8138/0.ts
翡翠剧集台,https://6.cdn.loc.cc/163189.php?id=tvbd
华丽翡翠,http://php.jdshipin.com/TVOD/iptv.php?id=huali
翡翠台-CH1,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台-CH2,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台-CH3,http://hls.168.us.kg/u/81/master.m3u8
无线新闻，http://php.jdshipin.com:8880/smt.php?id=inews_twn
HOY76 频道,http://hls.168.us.kg/u/76/master.m3u8
HOY78 频道,http://hls.168.us.kg/u/78/master.m3u8
ASTRO-HD,https://smt.1678520.xyz/smt3.2.1.php?id=Aodhd
ASTRO-AEC,https://smt.1678520.xyz/smt3.2.1.php?id=AEC
ASTRO-AOD,https://smt.1678520.xyz/smt3.2.1.php?id=Aodhd
ASTRO-欢喜台,http://php.jdshipin.com/smt.php?id=Huahee
ASTRO-QJ,https://smt.1678520.xyz/smt3.2.1.php?id=Quanjia
香港亚洲卫视,https://pull-hsbj.vzan.com/v/slowlive_821481626725612419.m3u8
邵氏电影台,https://stream1.freetv.fun/d8f66a980ecbfcf9ff9db3b098d87b06793378b6f0d84e28717bfb2da14c2124.m3u8
精彩电影台,https://yylunbo.ottiptv.cc/yy/1382745096
TVB PULS,https://smt.1678520.xyz/smt3.2.1.php?id=j2_twn
邵氏动作 HD,https://stream1.freetv.fun/74ff62421aeda7787c01ed5968f3e6176a418bf608351ac8faf5c3d501c70eab.m3u8
邵氏喜剧 HD,https://stream1.freetv.fun/5b5db4070d49b6949aad5a643411dbcf20868919c31ec99f9881cc1e19f2eaa0.m3u8
邵氏武侠 HD,https://stream1.freetv.fun/960fbbbedcdd596709ff256d7a80286a70a6820a03e20d4d4eaa49816ba4d4c1.m3u8
邵氏电影 HD,https://stream1.freetv.fun/d8f66a980ecbfcf9ff9db3b098d87b06793378b6f0d84e28717bfb2da14c2124.m3u8
经典电影二台,https://stream1.freetv.fun/13a9e71e43596740eb155ea1b840ca0848884aa34be169b42a3c3e268dce5781.m3u8
经典电影台,https://yylunbo.ottiptv.cc/yy/1382851522
星空卫视,http://home.yixi.pro:10043/udp/239.93.0.156:2193
TVB-星河频道,http://php.jdshipin.com:8880/PLTV/iptv.php?id=xinghe
台湾华视 HD,http://123.51.136.80:8317/0.ts
华视新闻 HD,http://123.51.136.80:8319/0.ts
华视教育 HD,http://123.51.136.80:8318/0.ts
CHC-动作电影,http://nas.home.plugintool.top:2333/udp/239.76.252.243:9000
4 music,https://stream1.freetv.fun/4music-2.m3u8
CMC 音乐台,https://stream1.freetv.fun/california-music-channel-1.m3u8
SAGA 音乐台,https://stream1.freetv.fun/saga-music-1.m3u8
澳门资讯,http://103.233.191.134:1935/ch5/info_ch5.live/playlist.m3u8
澳门澳视,http://103.233.191.134:1935/ch1/ch1.live/playlist.m3u8
澳门综艺,http://103.233.191.134:1935/ch6/hd_ch6.live/playlist.m3u8
NOW 新闻台,http://cdn.163189.xyz/163189/now
NOW 财经台,http://hls.168.us.kg/u/333/master.m3u8
NOW 直播台,http://hls.168.us.kg/u/331/master.m3u8
中国国际-法语频道,https://stream1.freetv.fun/cgtn-francais-5.m3u8
TVB-翡翠频道,http://mytv.cdn.loc.cc/o12.php?id=fct
中视箐采台 HD,http://123.51.136.80:8322/0.ts
中视经典台 HD,http://123.51.136.80:8321/0.ts
台湾中视 HD,http://123.51.136.80:8301/0.ts
公视–台语 HD,http://123.51.136.80:8306/0.ts
环球电视台,http://utv1.hqtvzb.com:9999/hls/world.m3u8
国际空间站,https://v.cdnlz12.com/20230913/10341_d0be8370/index.m3u8
娱乐新闻，http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
TVB-功夫台,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
CNA 亚洲,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
香港翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
香港翡翠-黄金台,http://php.jdshipin.com/smt.php?id=Tvbjade
台湾台视 HD,http://123.51.136.80:8313/0.ts
台视新闻 HD,http://123.51.136.80:8314/0.ts
台视综合 HD,http://123.51.136.80:8316/0.ts
台视财经 HD,http://123.51.136.80:8315/0.ts
台湾台视 HD,http://123.51.136.80:8313/0.ts
TVBS 新闻,https://stream1.freetv.fun/tvbs-news-1.m3u8
央视🌸慢播,#genre#
CCTV1,https://60.191.56.186:8888/hls/1/index.m3u8

CCTV2,https://60.191.56.186:8888/hls/2/index.m3u8

CCTV3,https://60.191.56.186:8888/hls/3/index.m3u8

CCTV4,http://www.liuliuball.cn:8888/udp/239.69.1.138:10466

CCTV5,https://60.191.56.186:8888/hls/5/index.m3u8

CCTV5+,https://60.191.56.186:8888/hls/15/index.m3u8

CCTV6,https://60.191.56.186:8888/hls/6/index.m3u8

CCTV7,https://60.191.56.186:8888/hls/7/index.m3u8

CCTV8,https://60.191.56.186:8888/hls/8/index.m3u8

CCTV9,https://60.191.56.186:8888/hls/9/index.m3u8

CCTV10,https://60.191.56.186:8888/hls/10/index.m3u8

CCTV11,http://www.liuliuball.cn:8888/udp/239.69.1.154:10560
CCTV12,https://60.191.56.186:8888/hls/12/index.m3u8

CCTV13,https://60.191.56.186:8888/hls/13/index.m3u8

CCTV14,http://www.liuliuball.cn:8888/udp/239.69.1.107:10280

CCTV15,https://60.191.56.186:8888/hls/14/index.m3u8

CCTV16,https://60.191.56.186:8888/hls/16/index.m3u8

CCTV13,http://120.76.248.139/live/bfgd/4200000067.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
CCTV6,http://120.76.248.139/live/bfgd/4200000065.m3u8
CCTV7,http://120.76.248.139/live/bfgd/4200000127.m3u8
CCTV-9纪录 (1080p),https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV-1,http://120.76.248.139/live/bfgd/4200000489.m3u8
CCTV-1,http://120.76.248.139/live/bfgd/4200000201.m3u8
CCTV5+,http://120.76.248.139/live/bfgd/4200000246.m3u8
CCTV10,http://120.76.248.139/live/bfgd/4200000129.m3u8
CCTV11,http://120.76.248.139/live/bfgd/4200000130.m3u8
CCTV12,http://120.76.248.139/live/bfgd/4200000131.m3u8
CCTV14,http://120.76.248.139/live/bfgd/4200000132.m3u8
CCTV15,http://120.76.248.139/live/bfgd/4200000133.m3u8
CCTV17,http://120.76.248.139/live/bfgd/4200000204.m3u8
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV4,http://120.76.248.139/live/bfgd/4200000063.m3u8
CCTV9,http://120.76.248.139/live/bfgd/4200000128.m3u8
CCTV5,http://120.76.248.139/live/bfgd/4200000064.m3u8
09-07-2024 Guangdong 
CCTV8,http://120.76.248.139/live/bfgd/4200000066.m3u8
CGTN,http://120.76.248.139/live/bfgd/4200000134.m3u8

北京卡酷少儿,http://120.76.248.139/live/bfgd/4200000106.m3u8

中央新影-发现之旅,http://120.76.248.139/live/bfgd/4200000151.m3u8
新视觉HD,http://120.76.248.139/live/bfgd/4200000249.m3u8
CHC华诚影视,http://120.76.248.139/live/bfgd/4200000289.m3u8

湖南卫视HD,http://120.76.248.139/live/bfgd/4200000086.m3u8
四川卫视HD,http://120.76.248.139/live/bfgd/4200000103.m3u8

辽宁卫视HD,http://120.76.248.139/live/bfgd/4200000058.m3u8

重温经典,http://120.76.248.139/live/bfgd/4200000635.m3u8
山东教育卫视,http://120.76.248.139/live/bfgd/4200000112.m3u8
CCTV-世界地理,http://120.76.248.139/live/bfgd/4200000177.m3u8

CCTV-怀旧剧场,http://120.76.248.139/live/bfgd/4200000224.m3u8

CCTV-电视指南,http://120.76.248.139/live/bfgd/4200000164.m3u8
CCTV-风云足球,http://120.76.248.139/live/bfgd/4200000225.m3u8
黑龙江卫视HD,http://120.76.248.139/live/bfgd/4200000095.m3u8
CCTV-女性时尚,http://120.76.248.139/live/bfgd/4200000176.m3u8
内蒙古卫视,http://120.76.248.139/live/bfgd/4200000110.m3u8
北京卫视HD,http://120.76.248.139/live/bfgd/4200000083.m3u8

河南卫视HD,http://120.76.248.139/live/bfgd/4200000339.m3u8

江西卫视HD,http://120.76.248.139/live/bfgd/4200000098.m3u8
01-23-2025 Shaanxi 
陕西卫视HD,http://120.76.248.139/live/bfgd/4200000512.m3u8
11-18-2024 Tokyo 
广西卫视HD,http://120.76.248.139/live/bfgd/4200000116.m3u8
11-09-2024 Fujian 
云南卫视HD,http://120.76.248.139/live/bfgd/4200000482.m3u8
10-26-2024 Tianjin 
吉林卫视HD,http://120.76.248.139/live/bfgd/4200000097.m3u8
09-04-2024 Hebei 
安徽卫视HD,http://120.76.248.139/live/bfgd/4200000096.m3u8
重庆卫视HD,http://120.76.248.139/live/bfgd/4200000107.m3u8
东方卫视HD,http://120.76.248.139/live/bfgd/4200000093.m3u8
东南卫视HD,http://120.76.248.139/live/bfgd/4200000483.m3u8
广东卫视HD,http://120.76.248.139/live/bfgd/4200000092.m3u8
09-02-2024 Guangdong 
甘肃卫视HD,http://120.76.248.139/live/bfgd/4200000119.m3u8
贵州卫视HD,http://120.76.248.139/live/bfgd/4200000101.m3u8
湖北卫视HD,http://120.76.248.139/live/bfgd/4200000102.m3u8
河北卫视HD,http://120.76.248.139/live/bfgd/4200000108.m3u8
江苏卫视HD,http://120.76.248.139/live/bfgd/4200000085.m3u8
海南卫视HD,http://120.76.248.139/live/bfgd/4200000473.m3u8
山东卫视HD,http://120.76.248.139/live/bfgd/4200000099.m3u8
深圳卫视HD,http://120.76.248.139/live/bfgd/4200000100.m3u8
浙江卫视HD,http://120.76.248.139/live/bfgd/4200000094.m3u8
中国教育1,http://120.76.248.139/live/bfgd/4200000135.m3u8
中国教育2,http://120.76.248.139/live/bfgd/4200000492.m3u8
山西卫视,http://120.76.248.139/live/bfgd/4200000109.m3u8

重温经典,http://120.76.248.139/live/bfgd/4200000636.m3u8
广东珠江频道,http://api.mytv666.top/api/hk.php?id=6162313131666165376133396363636237633834663162366130663635663031267469643d74762669643d39
广东体育,http://api.mytv666.top/api/hk.php?id=3635306561306164626438636438373731346432656366353839663866326232267469643d74762669643d3131


港澳,#genre#
星卫电影台,https://k0udeyd8ye5y1czw240ex951x2c10x5302xx1cz.djvod.ndcimgs.com/bs3/video-hls/5240782769998279315_5b89d96c2cad3de2_4681_hlsb.m3u8?x-ks-ptid=178957423116&x-kcdn-pid=12021&kwai-not-alloc=self-cdn&kcdntag=p:Guangdong;i:ChinaTelecom;ft:UNKNOWN;h:UNKNOWN;pn:webserverHls&ocid=63&ss=vpm
莲花卫视,http://1033946631.cloudvdn.com/a.m3u8?domain=live-hdl.macaulotustv.com&player=1&streamid=lotustv:lotustv/macaulotustv&v3=1
中国通史,http://newstreamcdnct.inter.ptqy.gitv.tv/tslive/c60_fast_1029_720P_t10/c60_fast_1029_720P_t10.m3u8?d
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,http://www.kaniptv.cn/mk.php?ip=node-111-20-163-124.speedtest.cn:8001&id=live1200
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
凤凰香港 HD,https://httop.top/fengshows-fenghk
美亚电影台,https://smt.1678520.xyz/smt3.2.1.php?id=meiyamovie_twn
AMC电影-台湾,http://211.23.125.95:50007/4gtv-4gtv017/index.m3u8?proxy=true
Channel [V],http://iot-mqqt.111yao.cn:8080/live/diyp_channelv.m3u8
天映电影,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial
天映经典,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial2
爱地球频道,https://stream1.freetv.fun/9b6ac39cf69d7a8710b6ee03009781695b898afb49cb5f98ecea39697016c2f7.m3u8
中国国际-纪录频道,https://stream1.freetv.fun/cgtnji-lu-2.m3u8
东森新闻,http://211.72.174.95:8138/0.ts
翡翠剧集台,https://6.cdn.loc.cc/163189.php?id=tvbd
华丽翡翠,http://php.jdshipin.com/TVOD/iptv.php?id=huali
翡翠台-CH1,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台-CH2,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台-CH3,http://hls.168.us.kg/u/81/master.m3u8
无线新闻，http://php.jdshipin.com:8880/smt.php?id=inews_twn
HOY76 频道,http://hls.168.us.kg/u/76/master.m3u8
HOY78 频道,http://hls.168.us.kg/u/78/master.m3u8
ASTRO-HD,https://smt.1678520.xyz/smt3.2.1.php?id=Aodhd
ASTRO-AEC,https://smt.1678520.xyz/smt3.2.1.php?id=AEC
ASTRO-AOD,https://smt.1678520.xyz/smt3.2.1.php?id=Aodhd
ASTRO-欢喜台,http://php.jdshipin.com/smt.php?id=Huahee
ASTRO-QJ,https://smt.1678520.xyz/smt3.2.1.php?id=Quanjia
香港亚洲卫视,https://pull-hsbj.vzan.com/v/slowlive_821481626725612419.m3u8
邵氏电影台,https://stream1.freetv.fun/d8f66a980ecbfcf9ff9db3b098d87b06793378b6f0d84e28717bfb2da14c2124.m3u8
精彩电影台,https://yylunbo.ottiptv.cc/yy/1382745096
TVB PULS,https://smt.1678520.xyz/smt3.2.1.php?id=j2_twn
邵氏动作 HD,https://stream1.freetv.fun/74ff62421aeda7787c01ed5968f3e6176a418bf608351ac8faf5c3d501c70eab.m3u8
邵氏喜剧 HD,https://stream1.freetv.fun/5b5db4070d49b6949aad5a643411dbcf20868919c31ec99f9881cc1e19f2eaa0.m3u8
邵氏武侠 HD,https://stream1.freetv.fun/960fbbbedcdd596709ff256d7a80286a70a6820a03e20d4d4eaa49816ba4d4c1.m3u8
邵氏电影 HD,https://stream1.freetv.fun/d8f66a980ecbfcf9ff9db3b098d87b06793378b6f0d84e28717bfb2da14c2124.m3u8
经典电影二台,https://stream1.freetv.fun/13a9e71e43596740eb155ea1b840ca0848884aa34be169b42a3c3e268dce5781.m3u8
经典电影台,https://yylunbo.ottiptv.cc/yy/1382851522
星空卫视,http://home.yixi.pro:10043/udp/239.93.0.156:2193
TVB-星河频道,http://php.jdshipin.com:8880/PLTV/iptv.php?id=xinghe
台湾华视 HD,http://123.51.136.80:8317/0.ts
华视新闻 HD,http://123.51.136.80:8319/0.ts
华视教育 HD,http://123.51.136.80:8318/0.ts
CHC-动作电影,http://nas.home.plugintool.top:2333/udp/239.76.252.243:9000
4 music,https://stream1.freetv.fun/4music-2.m3u8
CMC 音乐台,https://stream1.freetv.fun/california-music-channel-1.m3u8
SAGA 音乐台,https://stream1.freetv.fun/saga-music-1.m3u8
澳门资讯,http://103.233.191.134:1935/ch5/info_ch5.live/playlist.m3u8
澳门澳视,http://103.233.191.134:1935/ch1/ch1.live/playlist.m3u8
澳门综艺,http://103.233.191.134:1935/ch6/hd_ch6.live/playlist.m3u8
NOW 新闻台,http://cdn.163189.xyz/163189/now
NOW 财经台,http://hls.168.us.kg/u/333/master.m3u8
NOW 直播台,http://hls.168.us.kg/u/331/master.m3u8
中国国际-法语频道,https://stream1.freetv.fun/cgtn-francais-5.m3u8
TVB-翡翠频道,http://mytv.cdn.loc.cc/o12.php?id=fct
中视箐采台 HD,http://123.51.136.80:8322/0.ts
中视经典台 HD,http://123.51.136.80:8321/0.ts
台湾中视 HD,http://123.51.136.80:8301/0.ts
公视–台语 HD,http://123.51.136.80:8306/0.ts
环球电视台,http://utv1.hqtvzb.com:9999/hls/world.m3u8
国际空间站,https://v.cdnlz12.com/20230913/10341_d0be8370/index.m3u8
娱乐新闻，http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
TVB-功夫台,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
CNA 亚洲,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
香港翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
香港翡翠-黄金台,http://php.jdshipin.com/smt.php?id=Tvbjade
台湾台视 HD,http://123.51.136.80:8313/0.ts
台视新闻 HD,http://123.51.136.80:8314/0.ts
台视综合 HD,http://123.51.136.80:8316/0.ts
台视财经 HD,http://123.51.136.80:8315/0.ts
台湾台视 HD,http://123.51.136.80:8313/0.ts
TVBS 新闻,https://stream1.freetv.fun/tvbs-news-1.m3u8


新增频道,#genre#
爱尔达体育3台,http://43.251.226.89:5050/smart.php?id=eltasport3_twn&token=8522
now新闻,http://hls.168.us.kg/u/332/master.m3u8
now财经,http://hls.168.us.kg/u/333/master.m3u8
now直播,http://hls.168.us.kg/u/331/master.m3u8
美亚电影-台湾,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
凤凰电影频道,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
星空卫视频道,http://iot-mqqt.111yao.cn:8080/live/diyp_xingkong.m3u8
韩国GCN电视,http://liveko24-manminglobal3.ktcdn.co.kr/liveko24/gcnko_high/playlist.m3u8
恐怖电影院,https://yylunbo.ottiptv.cc/yy/24066336
天映频道-马来西亚,http://php.jdshipin.com/smt.php?id=Celestial
天映频道-马来西亚(备),http://122.53.222.9:9981/stream/channelid/1069391940?profile=pass
天映经典频道,http://php.jdshipin.com/smt.php?id=Celestial2
凤凰中文,https://smt.1678520.xyz/smt3.2.1.php?id=phoenixtv_hd
凤凰资讯,https://smt.1678520.xyz/smt3.2.1.php?id=phoenixinfo_hd
凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
ViuTV-香港,http://hls.168.us.kg/u/99/master.m3u8
Viu6TV-香港,http://hls.168.us.kg/u/96/master.m3u8

超清频道,#genre#
浙江卫视4K,https://stream1.freetv.fun/27bde01f6e5506617bec575ba1293bfc0a149bafe1eb681562f3d956baae616a.m3u8
北京卫视4K,http://106.53.99.30/tv/bj.php?id=bjws4k
南国都市4K,https://stream1.freetv.fun/4knan-guo-du-shi-1.m3u8
北京卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001510/index.m3u8?IAS
北京卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001500/index.m3u8?IAS
湖南卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001710/index.m3u8?IAS
东方卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001641/index.m3u8?IAS
东方卫视4K,http://106.53.99.30/tv/api.php?id=dfws4k
四川卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001690/index.m3u8?IAS
山东卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001581/index.m3u8?IAS
广东卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001540/index.m3u8?IAS
广东卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001550/index.m3u8?IAS
江苏卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001700/index.m3u8?IAS
浙江卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001720/index.m3u8?IAS
深圳卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001560/index.m3u8?HAS
深圳卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001521/index.m3u8?IAS

卫视系列,#genre#
广西卫视,http://api.kkitv.itv888.cn:8080/hls/yvz4ndj9dqb/index.m3u8
广东卫视,http://183.47.2.156:16883/udp/239.77.0.84:5146
广东珠江台,http://113.90.247.67:85/tsfile/live/1010_1.m3u8?key=txiptv
北京国际，http://106.120.14.215:4022/udp/225.1.8.131:8002
东南卫视,http://api.kkitv.itv888.cn:8080/hls/jjt15bvbl7a/index.m3u8
吉林卫视,http://api.kkitv.itv888.cn:8080/hls/b6dl8yuvu/index.m3u8
河南卫视,http://tvtj1.jxwltx.com:8003/hnws.m3u8
河北卫视,http://api.kkitv.itv888.cn:8080/hls/nd41hwdr82i/index.m3u8
山东卫视,http://api.kkitv.itv888.cn:8080/hls/6gcdai13om5/index.m3u8
山西卫视,http://sh.lnott.top:880/dx39.m3u8
陕西卫视,http://api.kkitv.itv888.cn:8080/hls/hyy3w1xyoaw/index.m3u8
黑龙江卫视,http://api.kkitv.itv888.cn:8080/hls/2a24lcvser/index.m3u8
湖南卫视,http://api.kkitv.itv888.cn:8080/hls/hoxiunz7ce/index.m3u8
兵团卫视,http://api.kkitv.itv888.cn:8080/hls/nbzfa7gljzp/index.m3u8
内蒙古卫视,http://api.kkitv.itv888.cn:8080/hls/t4wf5047i/index.m3u8
河西频道,http://sun.woisun.com:5555/udp/225.1.2.4:5002
安徽卫视,http://api.kkitv.itv888.cn:8080/hls/m8hvytneunk/index.m3u8
